Order,Family,species,,,,scs,haploid
Coleoptera,Chrysomelidae,Acalymma_blandulum,,,,XO,10
Coleoptera,Chrysomelidae,Acalymma_fairmairei,,,,XO,14
Coleoptera,Chrysomelidae,Acalymma_gouldi,,,,XO,10
Coleoptera,Chrysomelidae,Acalymma_innuba,,,,XO,10
Coleoptera,Chrysomelidae,Acalymma_pallipe,,,,XO,11
Coleoptera,Chrysomelidae,Acalymma_quadrivittatum,,,,XO,11
Coleoptera,Chrysomelidae,Acalymma_s._sp._Near_trivittatum,,,,XXY,20
Coleoptera,Chrysomelidae,Acalymma_sp._1,,,,XO,12
Coleoptera,Chrysomelidae,Acalymma_thiemei,,,,XO,11
Coleoptera,Chrysomelidae,Acalymma_trivittatum,,,,XO,11
Coleoptera,Chrysomelidae,Acalymma_vittatum,,,,XO,11
Coleoptera,Chrysomelidae,Aedmon_eugeniae,,,,XO,20
Coleoptera,Chrysomelidae,Agathomerus_sellatus,,,,Xyp,10
Coleoptera,Chrysomelidae,Agathomerus_subfasciatus,,,,Xyp,10
Coleoptera,Chrysomelidae,Agathomerus_testaceus,,,,Xyp,10
Coleoptera,Chrysomelidae,Agelastica_coerulea,,,,Xyr,12
Coleoptera,Chrysomelidae,Agroiconota_inedita,,,,Xyp,20
Coleoptera,Chrysomelidae,Agroiconota_inedita,,,,Xyp,21
Coleoptera,Chrysomelidae,Agroiconota_propinqua,,,,Xyp,19
Coleoptera,Chrysomelidae,Alagoasa_acutangula,,,,Xy,11
Coleoptera,Chrysomelidae,Alagoasa_apicata,,,,Xy,11
Coleoptera,Chrysomelidae,Alagoasa_arcifera,,,,Xy,8
Coleoptera,Chrysomelidae,Alagoasa_bipunctata,,,,Xy,11
Coleoptera,Chrysomelidae,Alagoasa_burmeisteri,,,,Xy,11
Coleoptera,Chrysomelidae,Alagoasa_burmeisteri_gounellei,,,,Xy,11
Coleoptera,Chrysomelidae,Alagoasa_burmeisteri_maculatissima,,,,Xy,11
Coleoptera,Chrysomelidae,Alagoasa_ceracollis,,,,Xy,11
Coleoptera,Chrysomelidae,Alagoasa_decemguttata,,,,Xy,11
Coleoptera,Chrysomelidae,Alagoasa_dipus,,,,Xy,11
Coleoptera,Chrysomelidae,Alagoasa_dissepta_cyaneofasciata,,,,Xy,11
Coleoptera,Chrysomelidae,Alagoasa_equestris,,,,Xy,6
Coleoptera,Chrysomelidae,Alagoasa_extrema,,,,Xy,11
Coleoptera,Chrysomelidae,Alagoasa_fasciaticollis,,,,Xy,11
Coleoptera,Chrysomelidae,Alagoasa_fasciaticollis,,,,Xy,11
Coleoptera,Chrysomelidae,Alagoasa_illustris,,,,Xy,11
Coleoptera,Chrysomelidae,Alagoasa_januaria,,,,Xy,11
Coleoptera,Chrysomelidae,Alagoasa_jufi,,,,Xy,11
Coleoptera,Chrysomelidae,Alagoasa_libenti,,,,Xy,11
Coleoptera,Chrysomelidae,Alagoasa_libenti_tetraspilota,,,,Xy,11
Coleoptera,Chrysomelidae,Alagoasa_mella_commutata,,,,Xy,11
Coleoptera,Chrysomelidae,Alagoasa_posticalis,,,,Xy,11
Coleoptera,Chrysomelidae,Alagoasa_rotundicollis,,,,Xy,11
Coleoptera,Chrysomelidae,Alagoasa_sp._1,,,,Xy,11
Coleoptera,Chrysomelidae,Alagoasa_sp._2,,,,Xy,11
Coleoptera,Chrysomelidae,Alagoasa_trifasciata,,,,Xy,11
Coleoptera,Chrysomelidae,Alagoasa_trifasciata_vulgatissima,,,,Xy,11
Coleoptera,Chrysomelidae,Altica_aenea_brasiliensis,,,,Xy,12
Coleoptera,Chrysomelidae,Altica_ambiens,,,,Xy,12
Coleoptera,Chrysomelidae,Altica_ambiens_alni,,,,Xy,12
Coleoptera,Chrysomelidae,Altica_amethysti,,,,Xy,12
Coleoptera,Chrysomelidae,Altica_ampelophaga,,,,Xy,12
Coleoptera,Chrysomelidae,Altica_brevicollis,,,,Xy,12
Coleoptera,Chrysomelidae,Altica_carduorum,,,,Xy,12
Coleoptera,Chrysomelidae,Altica_carita,,,,Xy,12
Coleoptera,Chrysomelidae,Altica_chalybea,,,,Xy,11
Coleoptera,Chrysomelidae,Altica_coerulea,,,,Xyy,11
Coleoptera,Chrysomelidae,Altica_coerulea,,,,Xy,12
Coleoptera,Chrysomelidae,Altica_coerulescens,,,,Xy,12
Coleoptera,Chrysomelidae,Altica_corni,,,,Xy,12
Coleoptera,Chrysomelidae,Altica_lythri,,,,Xy,12
Coleoptera,Chrysomelidae,Altica_oleeracea,,,,Xy,12
Coleoptera,Chrysomelidae,Altica_populi,,,,Xy,12
Coleoptera,Chrysomelidae,Altica_rosae,,,,Xy,12
Coleoptera,Chrysomelidae,Altica_sp._1,,,,Xyp,11
Coleoptera,Chrysomelidae,Altica_sp._2,,,,Xy,12
Coleoptera,Chrysomelidae,Altica_sp._3,,,,Xy,12
Coleoptera,Chrysomelidae,Altica_sp._3,,,,XXyy,13
Coleoptera,Chrysomelidae,Altica_subplicata,,,,Xy,12
Coleoptera,Chrysomelidae,Altica_tamaricis,,,,Xy,12
Coleoptera,Chrysomelidae,Altica_tincta?,,,,Xy,12
Coleoptera,Chrysomelidae,Altica_ulmi,,,,Xy,12
Coleoptera,Chrysomelidae,Ambrostoma_superbum,,,,Xyp,20
Coleoptera,Chrysomelidae,Amphelsasma_cavum,,,,XO,9
Coleoptera,Chrysomelidae,Amphelsasma_cavum_n._sp.,,,,XO,10
Coleoptera,Chrysomelidae,Amphelsasma_cavum_vicinum,,,,XO,9
Coleoptera,Chrysomelidae,Anisodera_excavata,,,,NeoXY,9
Coleoptera,Chrysomelidae,Aphthona_cyparissiae,,,,XY,16
Coleoptera,Chrysomelidae,Aphthona_depressa,,,,XY,14
Coleoptera,Chrysomelidae,Aphthona_depressa,,,,XY,14
Coleoptera,Chrysomelidae,Aphthona_flaviceps,,,,XY,13
Coleoptera,Chrysomelidae,Aphthona_herbigrada,,,,XY,14
Coleoptera,Chrysomelidae,Aphthona_herbigrada,,,,XY,15
Coleoptera,Chrysomelidae,Aphthona_illigeri,,,,XY,14
Coleoptera,Chrysomelidae,Aphthona_lamprocyanea,,,,Xy,12
Coleoptera,Chrysomelidae,Aphthona_lutescens,,,,XY,12
Coleoptera,Chrysomelidae,Aphthona_nigriceps,,,,XY,16
Coleoptera,Chrysomelidae,Aphthona_venustula,,,,XY,14
Coleoptera,Chrysomelidae,Aphthona_venustula,,,,XY,14
Coleoptera,Chrysomelidae,Apophylia_sericea,,,,Xyp,15
Coleoptera,Chrysomelidae,Apraea_portoricensis,,,,XY,5
Coleoptera,Chrysomelidae,Apraea_portoricensis,,,,XY,6
Coleoptera,Chrysomelidae,Araucanomela_wellingtonensis,,,,Xyp,14
Coleoptera,Chrysomelidae,Argopus_punctipennis,,,,XY,25
Coleoptera,Chrysomelidae,Arrhenocoela_lineata,,,,XY,13
Coleoptera,Chrysomelidae,Asiorestia_impressa,,,,XY,19
Coleoptera,Chrysomelidae,Asphaera_abdomilis,,,,Xy,11
Coleoptera,Chrysomelidae,Asphaera_abendrothi,,,,XXXXY,14
Coleoptera,Chrysomelidae,Asphaera_daniella,,,,XXXXXXY,16
Coleoptera,Chrysomelidae,Asphaera_limitata,,,,XXY,12
Coleoptera,Chrysomelidae,Asphaera_meticulosa,,,,Xy,11
Coleoptera,Chrysomelidae,Asphaera_nr._Weyrauchi_sp._1,,,,XXXXXXY,16
Coleoptera,Chrysomelidae,Asphaera_octopunctata,,,,Xy,9
Coleoptera,Chrysomelidae,Asphaera_pauperata,,,,Xy,9
Coleoptera,Chrysomelidae,Asphaera_pauperata,,,,XXY,12
Coleoptera,Chrysomelidae,Asphaera_reflexicollis,,,,XXXXY,14
Coleoptera,Chrysomelidae,Asphaera_sp._2,,,,XXXY,13
Coleoptera,Chrysomelidae,Asphaera_sp._3,,,,XXXXXXXY,16
Coleoptera,Chrysomelidae,Asphaera_t-album,,,,XXXXXXY,16
Coleoptera,Chrysomelidae,Asphaera_unicolor,,,,Xy,11
Coleoptera,Chrysomelidae,Aspidimorpha_difformis,,,,Xyp,9
Coleoptera,Chrysomelidae,Aspidimorpha_dorsata,,,,Xyp,8
Coleoptera,Chrysomelidae,Aspidimorpha_furcata,,,,Xyp,9
Coleoptera,Chrysomelidae,Aspidimorpha_indica,,,,Xyp,9
Coleoptera,Chrysomelidae,Aspidimorpha_miliaris,,,,Xyp,9
Coleoptera,Chrysomelidae,Aulacophora_cincta,,,,XY,15
Coleoptera,Chrysomelidae,Aulacophora_femoralis,,,,XY,29
Coleoptera,Chrysomelidae,Aulacophora_femoralis,,,,XXY,30
Coleoptera,Chrysomelidae,Aulacophora_fovecollis,,,,XY,15
Coleoptera,Chrysomelidae,Aulacophora_fovecollis,,,,Xyp,15
Coleoptera,Chrysomelidae,Aulacophora_fovecollis,,,,XXY,30
Coleoptera,Chrysomelidae,Aulacophora_intermedia,,,,XY,15
Coleoptera,Chrysomelidae,Aulacophora_intermedia,,,,XXY,29
Coleoptera,Chrysomelidae,Aulacophora_intermedia,,,,XXY,29
Coleoptera,Chrysomelidae,Aulacophora_semifusca,,,,XXY,30
Coleoptera,Chrysomelidae,Aulacoscelis_melanocera,,,,XO,12
Coleoptera,Chrysomelidae,Baliosus_californicus,,,,Xyp,9
